p,q,midpoint,mid_mod37,mid_dr,chi_p,chi_q,chi_mid
25997,25999,25998,24,6,-1,1,0
26111,26113,26112,27,3,-1,1,0
26249,26251,26250,17,6,-1,1,0
26261,26263,26262,29,9,-1,1,0
26681,26683,26682,5,6,-1,1,0
26699,26701,26700,23,6,-1,1,0
26711,26713,26712,35,9,-1,1,0
26729,26731,26730,16,9,-1,1,0
26861,26863,26862,0,6,-1,1,0
26879,26881,26880,18,6,-1,1,0
26891,26893,26892,30,9,-1,1,0
26951,26953,26952,16,6,-1,1,0
27059,27061,27060,13,6,-1,1,0
27107,27109,27108,24,9,-1,1,0
27239,27241,27240,8,6,-1,1,0
27281,27283,27282,13,3,-1,1,0
27407,27409,27408,28,3,-1,1,0
27479,27481,27480,26,3,-1,1,0
27527,27529,27528,0,6,-1,1,0
27539,27541,27540,12,9,-1,1,0
27581,27583,27582,17,6,-1,1,0
27689,27691,27690,14,6,-1,1,0
27737,27739,27738,25,9,-1,1,0
27749,27751,27750,0,3,-1,1,0
27791,27793,27792,5,9,-1,1,0
27917,27919,27918,20,9,-1,1,0
27941,27943,27942,7,6,-1,1,0
28097,28099,28098,15,9,-1,1,0
28109,28111,28110,27,3,-1,1,0
28181,28183,28182,25,3,-1,1,0
28277,28279,28278,10,9,-1,1,0
28307,28309,28308,3,3,-1,1,0
28349,28351,28350,8,9,-1,1,0
28409,28411,28410,31,6,-1,1,0
28547,28549,28548,21,9,-1,1,0
28571,28573,28572,8,6,-1,1,0
28619,28621,28620,19,9,-1,1,0
28661,28663,28662,24,6,-1,1,0
28751,28753,28752,3,6,-1,1,0
29021,29023,29022,14,6,-1,1,0
29129,29131,29130,11,6,-1,1,0
29207,29209,29208,15,3,-1,1,0
29387,29389,29388,10,3,-1,1,0
29399,29401,29400,22,6,-1,1,0
29567,29569,29568,5,3,-1,1,0
29669,29671,29670,33,6,-1,1,0
29759,29761,29760,12,6,-1,1,0
29879,29881,29880,21,9,-1,1,0
30011,30013,30012,5,6,-1,1,0
30089,30091,30090,9,3,-1,1,0
30137,30139,30138,20,6,-1,1,0
30269,30271,30270,4,3,-1,1,0
30389,30391,30390,13,6,-1,1,0
30467,30469,30468,17,3,-1,1,0
30491,30493,30492,4,9,-1,1,0
30557,30559,30558,33,3,-1,1,0
30839,30841,30840,19,6,-1,1,0
30851,30853,30852,31,9,-1,1,0
30869,30871,30870,12,9,-1,1,0
31079,31081,31080,0,3,-1,1,0
31121,31123,31122,5,9,-1,1,0
31151,31153,31152,35,3,-1,1,0
31181,31183,31182,28,6,-1,1,0
31247,31249,31248,20,9,-1,1,0
31319,31321,31320,18,9,-1,1,0
31391,31393,31392,16,9,-1,1,0
31511,31513,31512,25,3,-1,1,0
31541,31543,31542,18,6,-1,1,0
31721,31723,31722,13,6,-1,1,0
31727,31729,31728,19,3,-1,1,0
31769,31771,31770,24,9,-1,1,0
31847,31849,31848,28,6,-1,1,0
32027,32029,32028,23,6,-1,1,0
32057,32059,32058,16,9,-1,1,0
32117,32119,32118,2,6,-1,1,0
32141,32143,32142,26,3,-1,1,0
32189,32191,32190,0,6,-1,1,0
32297,32299,32298,34,6,-1,1,0
32321,32323,32322,21,3,-1,1,0
32369,32371,32370,32,6,-1,1,0
32411,32413,32412,0,3,-1,1,0
32441,32443,32442,30,6,-1,1,0
32531,32533,32532,9,6,-1,1,0
32561,32563,32562,2,9,-1,1,0
32609,32611,32610,13,3,-1,1,0
32717,32719,32718,10,3,-1,1,0
32801,32803,32802,20,6,-1,1,0
32831,32833,32832,13,9,-1,1,0
32909,32911,32910,17,6,-1,1,0
32939,32941,32940,10,9,-1,1,0
32969,32971,32970,3,3,-1,1,0
33071,33073,33072,31,6,-1,1,0
33149,33151,33150,35,3,-1,1,0
33179,33181,33180,28,6,-1,1,0
33287,33289,33288,25,6,-1,1,0
33329,33331,33330,30,3,-1,1,0
33347,33349,33348,11,3,-1,1,0
33587,33589,33588,29,9,-1,1,0
33599,33601,33600,4,3,-1,1,0
33617,33619,33618,22,3,-1,1,0
33749,33751,33750,6,9,-1,1,0
33767,33769,33768,24,9,-1,1,0
33809,33811,33810,29,6,-1,1,0
33827,33829,33828,10,6,-1,1,0
34031,34033,34032,29,3,-1,1,0
34127,34129,34128,14,9,-1,1,0
34157,34159,34158,7,3,-1,1,0
34211,34213,34212,24,3,-1,1,0
34259,34261,34260,35,6,-1,1,0
34301,34303,34302,3,3,-1,1,0
34367,34369,34368,32,6,-1,1,0
34469,34471,34470,23,9,-1,1,0
34499,34501,34500,16,3,-1,1,0
34511,34513,34512,28,6,-1,1,0
34589,34591,34590,32,3,-1,1,0
34649,34651,34650,18,9,-1,1,0
34757,34759,34758,15,9,-1,1,0
34841,34843,34842,25,3,-1,1,0
34847,34849,34848,31,9,-1,1,0
34961,34963,34962,34,6,-1,1,0
35051,35053,35052,13,6,-1,1,0
35081,35083,35082,6,9,-1,1,0
35279,35281,35280,19,9,-1,1,0
35447,35449,35448,2,6,-1,1,0
35507,35509,35508,25,3,-1,1,0
35531,35533,35532,12,9,-1,1,0
35591,35593,35592,35,6,-1,1,0
35729,35731,35730,25,9,-1,1,0
35801,35803,35802,23,9,-1,1,0
35837,35839,35838,22,9,-1,1,0
35897,35899,35898,8,6,-1,1,0
36011,36013,36012,11,3,-1,1,0
36107,36109,36108,33,9,-1,1,0
36341,36343,36342,8,9,-1,1,0
36467,36469,36468,23,9,-1,1,0
36527,36529,36528,9,6,-1,1,0
36779,36781,36780,2,6,-1,1,0
36791,36793,36792,14,9,-1,1,0
36899,36901,36900,11,9,-1,1,0
36929,36931,36930,4,3,-1,1,0
37019,37021,37020,20,3,-1,1,0
37199,37201,37200,15,3,-1,1,0
37307,37309,37308,12,3,-1,1,0
37337,37339,37338,5,6,-1,1,0
37361,37363,37362,29,3,-1,1,0
37547,37549,37548,30,9,-1,1,0
37571,37573,37572,17,6,-1,1,0
37589,37591,37590,35,6,-1,1,0
37691,37693,37692,26,9,-1,1,0
37781,37783,37782,5,9,-1,1,0
37811,37813,37812,35,3,-1,1,0
37991,37993,37992,30,3,-1,1,0
38237,38239,38238,17,6,-1,1,0
38327,38329,38328,33,6,-1,1,0
38447,38449,38448,5,9,-1,1,0
38459,38461,38460,17,3,-1,1,0
38567,38569,38568,14,3,-1,1,0
38609,38611,38610,19,9,-1,1,0
38651,38653,38652,24,6,-1,1,0
38669,38671,38670,5,6,-1,1,0
38711,38713,38712,10,3,-1,1,0
38747,38749,38748,9,3,-1,1,0
38921,38923,38922,35,6,-1,1,0
39041,39043,39042,7,9,-1,1,0
39161,39163,39162,16,3,-1,1,0
39227,39229,39228,8,6,-1,1,0
39239,39241,39240,20,9,-1,1,0
39341,39343,39342,11,3,-1,1,0
39371,39373,39372,4,6,-1,1,0
39509,39511,39510,31,9,-1,1,0
39827,39829,39828,16,3,-1,1,0
39839,39841,39840,28,6,-1,1,0
40037,40039,40038,4,6,-1,1,0
40127,40129,40128,20,6,-1,1,0
40151,40153,40152,7,3,-1,1,0
40427,40429,40428,24,9,-1,1,0
40529,40531,40530,15,3,-1,1,0
40637,40639,40638,12,3,-1,1,0
40697,40699,40698,35,9,-1,1,0
40847,40849,40848,0,6,-1,1,0
41141,41143,41142,35,3,-1,1,0
41177,41179,41178,34,3,-1,1,0
41201,41203,41202,21,9,-1,1,0
41231,41233,41232,14,3,-1,1,0
41387,41389,41388,22,6,-1,1,0
41411,41413,41412,9,3,-1,1,0
41519,41521,41520,6,3,-1,1,0
41609,41611,41610,22,3,-1,1,0
41759,41761,41760,24,9,-1,1,0
41849,41851,41850,3,9,-1,1,0
41957,41959,41958,0,9,-1,1,0
41981,41983,41982,24,6,-1,1,0
42017,42019,42018,23,6,-1,1,0
42071,42073,42072,3,6,-1,1,0
42179,42181,42180,0,6,-1,1,0
42221,42223,42222,5,3,-1,1,0
42281,42283,42282,28,9,-1,1,0
42407,42409,42408,6,9,-1,1,0
42461,42463,42462,23,9,-1,1,0
42569,42571,42570,20,9,-1,1,0
42641,42643,42642,18,9,-1,1,0
42701,42703,42702,4,6,-1,1,0
42839,42841,42840,31,9,-1,1,0
42899,42901,42900,17,6,-1,1,0
43049,43051,43050,19,3,-1,1,0
43319,43321,43320,30,3,-1,1,0
43397,43399,43398,34,9,-1,1,0
43541,43543,43542,30,9,-1,1,0
43577,43579,43578,29,9,-1,1,0
43607,43609,43608,22,3,-1,1,0
43649,43651,43650,27,9,-1,1,0
43781,43783,43782,11,6,-1,1,0
43787,43789,43788,17,3,-1,1,0
43889,43891,43890,8,6,-1,1,0
43961,43963,43962,6,6,-1,1,0
44027,44029,44028,35,9,-1,1,0
44087,44089,44088,21,6,-1,1,0
44129,44131,44130,26,3,-1,1,0
44201,44203,44202,24,3,-1,1,0
44267,44269,44268,16,6,-1,1,0
44279,44281,44280,28,9,-1,1,0
44381,44383,44382,19,3,-1,1,0
44531,44533,44532,21,9,-1,1,0
44621,44623,44622,0,9,-1,1,0
44699,44701,44700,4,6,-1,1,0
44771,44773,44772,2,6,-1,1,0
45119,45121,45120,17,3,-1,1,0
45137,45139,45138,35,3,-1,1,0
45179,45181,45180,3,9,-1,1,0
45317,45319,45318,30,3,-1,1,0
