p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
157897,798751,1,1,1,True,640854,9,18,32,False,1,COL1
157933,339751,1,1,1,True,181818,9,17,17,True,1,COL1
157991,199751,5,5,7,True,41760,9,1,25,False,-1,COL2
158003,300851,8,8,1,True,142848,9,13,4,False,-1,COL2
158017,710851,4,4,7,True,552834,9,27,7,False,1,COL1
158071,170851,4,4,7,True,12780,9,7,22,False,1,COL1
158143,341851,4,4,7,True,183708,9,5,8,False,1,COL1
158233,332851,4,4,7,True,174618,9,21,36,False,1,COL1
158293,392851,1,1,1,True,234558,9,7,22,False,1,COL1
158329,923851,1,1,1,True,765522,9,6,35,False,1,COL1
158359,953851,4,4,7,True,795492,9,36,28,False,1,COL1
158371,173851,7,7,4,True,15480,9,11,25,False,1,COL1
158519,915851,2,2,4,True,757332,9,11,27,False,-1,COL2
158563,365851,1,1,1,True,207288,9,18,32,False,1,COL1
158567,765851,5,5,7,True,607284,9,22,25,False,-1,COL2
158663,366851,2,2,4,True,208188,9,7,33,False,-1,COL2
158749,947851,7,7,4,True,789102,9,19,22,False,1,COL1
158759,957851,8,8,1,True,799092,9,29,32,False,-1,COL2
158803,308851,7,7,4,True,150048,9,36,12,False,1,COL1
158843,348851,2,2,4,True,190008,9,2,15,False,-1,COL2
158867,768851,8,8,1,True,609984,9,26,28,False,-1,COL2
158927,729851,5,5,7,True,570924,9,12,26,False,-1,COL2
158981,189851,5,5,7,True,30870,9,29,4,False,-1,COL2
158993,399851,8,8,1,True,240858,9,4,29,False,-1,COL2
159017,710951,5,5,7,True,551934,9,28,33,False,-1,COL2
159113,311951,2,2,4,True,152838,9,13,4,False,-1,COL2
159119,911951,8,8,1,True,752832,9,19,12,False,-1,COL2
159179,971951,5,5,7,True,812772,9,5,35,False,-1,COL2
159199,991951,7,7,4,True,832752,9,25,18,False,1,COL1
159223,322951,4,4,7,True,163728,9,12,15,False,1,COL1
159233,332951,5,5,7,True,173718,9,22,25,False,-1,COL2
159349,943951,4,4,7,True,784602,9,27,7,False,1,COL1
159389,983951,8,8,1,True,824562,9,30,10,False,-1,COL2
159553,355951,1,1,1,True,196398,9,9,11,False,1,COL1
159589,985951,1,1,1,True,826362,9,8,12,False,1,COL1
159617,716951,2,2,4,True,557334,9,36,2,False,-1,COL2
159623,326951,8,8,1,True,167328,9,5,19,False,-1,COL2
159671,176951,2,2,4,True,17280,9,16,17,False,-1,COL2
159697,796951,1,1,1,True,637254,9,5,8,False,1,COL1
159707,707951,2,2,4,True,548244,9,15,30,False,-1,COL2
159769,967951,1,1,1,True,808182,9,3,31,False,1,COL1
159793,397951,7,7,4,True,238158,9,27,16,False,1,COL1
159853,358951,4,4,7,True,199098,9,13,14,False,1,COL1
159871,178951,4,4,7,True,19080,9,31,19,False,1,COL1
159899,998951,5,5,7,True,839052,9,22,25,False,-1,COL2
159937,739951,7,7,4,True,580014,9,23,25,False,1,COL1
160009,900061,7,7,4,True,740052,9,21,36,False,1,COL1
160033,330061,4,4,7,True,170028,9,8,21,False,1,COL1
